Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
adyar,South Kesavaperumalpuram,Morning,Low,No,No,Outer,Low,Unsafe
adyar,South Kesavaperumalpuram,Afternoon,Low,No,No,Outer,Low,Safe
adyar,South Kesavaperumalpuram,Evening,Low,No,No,Outer,Low,Safe
adyar,South Kesavaperumalpuram,Night,Low,No,No,Outer,Low,Unsafe
adyar,Subramaniam Nagar,Morning,Medium,Yes,Yes,Inner,Medium,Safe
adyar,Subramaniam Nagar,Afternoon,Low,Yes,Yes,Inner,Medium,Unsafe
adyar,Subramaniam Nagar,Evening,High,Yes,Yes,Inner,Medium,Safe
adyar,Subramaniam Nagar,Night,Medium,Yes,Yes,Inner,Medium,Safe
ramapuram,Suresh Nagar,Morning,Low,No,No,Outer,Medium,Unsafe
ramapuram,Suresh Nagar,Afternoon,Low,No,No,Outer,Medium,Safe
ramapuram,Suresh Nagar,Evening,Low,No,No,Outer,Medium,Safe
ramapuram,Suresh Nagar,Night,Low,No,No,Outer,Medium,Unsafe
ramapuram,Tamil Nagar,Morning,Medium,No,No,Outer,Low,Unsafe
ramapuram,Tamil Nagar,Afternoon,Low,No,No,Outer,Low,Safe
ramapuram,Tamil Nagar,Evening,Medium,No,No,Outer,Low,Unsafe
ramapuram,Tamil Nagar,Night,Low,No,No,Outer,Low,Unsafe
adyar,Teachers Colony,Morning,Medium,Yes,Yes,Inner,High,Safe
adyar,Teachers Colony,Afternoon,Low,Yes,Yes,Inner,High,Safe
adyar,Teachers Colony,Evening,High,Yes,Yes,Inner,High,Safe
adyar,Teachers Colony,Night,Medium,Yes,Yes,Inner,High,Safe
ramapuram,Thiru Nagar,Morning,Medium,Yes,No,Inner,Low,Safe
ramapuram,Thiru Nagar,Afternoon,High,Yes,No,Inner,Low,Safe
ramapuram,Thiru Nagar,Evening,Medium,Yes,No,Inner,Low,Safe
ramapuram,Thiru Nagar,Night,Low,Yes,No,Inner,Low,Unsafe
adyar,Venkateshwar Nagar,Morning,Medium,No,No,Outer,Low,Unsafe
adyar,Venkateshwar Nagar,Afternoon,Low,No,No,Outer,Low,Safe
adyar,Venkateshwar Nagar,Evening,Medium,No,No,Outer,Low,Unsafe
adyar,Venkateshwar Nagar,Night,Low,No,No,Outer,Low,Unsafe
ramapuram,Venkateshwara Nagar,Morning,Medium,No,No,Inner,High,Safe
ramapuram,Venkateshwara Nagar,Afternoon,Medium,No,No,Inner,High,Safe
ramapuram,Venkateshwara Nagar,Evening,Medium,No,No,Inner,High,Safe
ramapuram,Venkateshwara Nagar,Night,Low,No,No,Inner,High,Unsafe
west mambalam,Vivekanandapuram,Morning,High,No,No,Inner,High,Safe
west mambalam,Vivekanandapuram,Afternoon,Medium,No,No,Inner,High,Safe
west mambalam,Vivekanandapuram,Evening,High,No,No,Inner,High,Safe
west mambalam,Vivekanandapuram,Night,Low,No,No,Inner,High,Unsafe
