Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
no 30.1`st main 1st cross kakiyanagara naidu layout chikkalsandra banglore city -61,Residential,Evening,Low,No,No,Outer,Low,Safe
no near labour shed gublala ge kanaka pura mian road doddakalasandra banglore -62,Residential,Night,Low,No,No,Outer,Low,Safe
no ittumadu main road ags layout banglore 61,Residential,Night,Low,No,No,Outer,Low,Safe
near maruthi layout park 80feet road maruthi layot vasanthpura bangore 61,Residential,Night,Low,No,No,Outer,Low,Safe
no 36. 1st main 3rd cross jayaraja bi;ding kengeri main road hemavhi layout banglore 61,Residential,Night,Low,No,No,Outer,Low,Safe
no near canara bank konanakunte cross banglore,Residential,Night,Low,No,No,Outer,Low,Safe
empty site bihind iscon temple yadalamanagara banglore 61,Residential,Morning,Low,No,No,Outer,Low,Safe
no 637. ji rajeshawari nilaya 2nd floor 7 c cross sindice bank road vallabhanagara doaddakalsanadra banglore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
near tirumala mess & bekari chikklasandra banglore,Residential,Night,Low,No,No,Outer,Low,Safe
no 20/4. 4th cross flower decorion gowdana arehalli banglore,Residential,Evening,Low,No,No,Outer,Low,Safe
bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Safe
bangalore.,Residential,Afternoon,Low,No,No,Outer,Low,Safe
bengaluru city,Residential,Morning,Low,No,No,Outer,Low,Safe
ganigaraplaya bangalore.,Residential,Night,Low,No,No,Outer,Low,Safe
hosahalli bangalore.,Residential,Night,Low,No,No,Outer,Low,Safe
hosahalli bangalore.,Residential,Evening,Low,No,No,Outer,Low,Safe
bengaluru city,Residential,Evening,Low,No,No,Outer,Low,Safe
konanakunte,Residential,Afternoon,Low,No,No,Outer,Low,Safe
new bank calony,Residential,Night,Low,No,No,Outer,Low,Safe
bangalore,Residential,Morning,Low,No,No,Outer,Low,Safe
chunchaghta main road bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
bangalore-62,Residential,Night,Low,No,No,Outer,Low,Safe
jp nagar 8th phase bangalore-83,Residential,Night,Low,No,No,Outer,Low,Safe
7th cross weavers calony bangalore-,Residential,Night,Low,No,No,Outer,Low,Safe
kothanur village bangalore-,Residential,Afternoon,Low,No,No,Outer,Low,Safe
bengaluru,Residential,Afternoon,Low,No,No,Outer,Low,Safe
bengaluru city,Residential,Afternoon,Low,No,No,Outer,Low,Safe
bengaluru city,Residential,Night,Low,No,No,Outer,Low,Safe
bvangalore,Residential,Night,Low,No,No,Outer,Low,Safe
bangalore,Residential,Morning,Low,No,No,Outer,Low,Safe
bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
bangalore,Residential,Evening,Low,No,No,Outer,Low,Safe
560085,Residential,Evening,Low,No,No,Outer,Low,Safe
21st main girinagar bsk 3rd stage b-85,Residential,Morning,Low,No,No,Outer,Low,Safe
sharada shevashrama ashrama opp pes college veerabhadranagar bsk 3rd stage b-85,Residential,Morning,Low,No,No,Outer,Low,Safe
560085,Residential,Afternoon,Low,No,No,Outer,Low,Safe
k.g. nagar bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
kg nagar bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
bangalore-19,Residential,Evening,Low,No,No,Outer,Low,Safe
b-lore,Residential,Evening,Low,No,No,Outer,Low,Safe
b-lore,Residential,Evening,Low,No,No,Outer,Low,Safe
b-lore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
560050,Residential,Night,Low,No,No,Outer,Low,Safe
bangalore-85.,Residential,Afternoon,Low,No,No,Outer,Low,Safe
bngalore-85.,Residential,Night,Low,No,No,Outer,Low,Safe
bangalore-85.,Residential,Morning,Low,No,No,Outer,Low,Safe
bangalore-85.,Residential,Night,Low,No,No,Outer,Low,Safe
bangalore-28,Residential,Night,Low,No,No,Outer,Low,Safe
jayanagara bangalore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
kanakapura main road bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi,Residential,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara 5th block bangalore,Residential,Night,Low,No,No,Outer,Low,Unsafe
36th f cross jayanagara 4th t block bangalore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara 4th block bangalore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
8th b main road 4th block jayanagar bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
7th block jayanagar bangalore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
opp banashankari temple bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
shakhambari nagar bangalore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
top of the under pass. near basavanagudi,Residential,Morning,Low,No,No,Outer,Low,Unsafe
bangalore.,Residential,Morning,Low,No,No,Outer,Low,Unsafe
bangalore.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bangalore.,Residential,Night,Low,No,No,Outer,Low,Unsafe
bangalore.,Residential,Evening,Low,No,No,Outer,Low,Unsafe
karnaka-5600762,Residential,Night,Low,No,No,Outer,Low,Unsafe
karnaka-560078,Residential,Morning,Low,No,No,Outer,Low,Unsafe
bengaluru city,Residential,Morning,Low,No,No,Outer,Low,Unsafe
rajivgandhi road,Residential,Morning,Low,No,No,Outer,Low,Unsafe
unknown,Residential,Morning,Low,No,No,Outer,Low,Unsafe
karnaka-560078,Residential,Night,Low,No,No,Outer,Low,Unsafe
karnaka,Residential,Morning,Low,No,No,Outer,Low,Unsafe
karnaka,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
karnaka.,Residential,Morning,Low,No,No,Outer,Low,Unsafe
karnaka,Residential,Night,Low,No,No,Outer,Low,Unsafe
unknown,Residential,Night,Low,No,No,Outer,Low,Unsafe
unknown,Residential,Evening,Low,No,No,Outer,Low,Unsafe
unknown,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
karnak,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
"bengaluru
city",Residential,Morning,Low,No,No,Outer,Low,Unsafe
j.c. colony lalbhagh siddapura jayanagar 1st block bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
psychiric ward nimhans hospital hosur main road bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
near alfa hotel someshwara nagar jayanagar 1st block bengaluru.,Residential,Evening,Low,No,No,Outer,Low,Unsafe
3rd cross 1st main byrasandra jayanagar 1st block bengaluru.,Residential,Night,Low,No,No,Outer,Low,Unsafe
near abcd park jayanagar 1st block bengaluru.,Residential,Night,Low,No,No,Outer,Low,Unsafe
nimhans hospital bengaluru.,Residential,Evening,Low,No,No,Outer,Low,Unsafe
8th main 5th cross byrasandra jayanagar 1st block bengaluru.,Residential,Evening,Low,No,No,Outer,Low,Unsafe
dayananda slum borgalli siddapura jayanagar 1st block bengaluru.,Residential,Evening,Low,No,No,Outer,Low,Unsafe
near aralikte lalbhagh siddapura jayanagar 1st block bengaluru.,Residential,Morning,Low,No,No,Outer,Low,Unsafe
infront of axis m k.m.colony siddapura jayanagar 1st block bengaluru.,Residential,Night,Low,No,No,Outer,Low,Unsafe
4th main j.c.colony siddpaura jayanagar 1st block bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
near venkesha nursery j.c.colony siddpaura jayanagar 1st block bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
near mayya hospital t.mariyappa road jayanagar 1st block bengaluru.,Residential,Night,Low,No,No,Outer,Low,Unsafe
gundappa layout byrasandra jayanagar 1st block bengaluru.,Residential,Night,Low,No,No,Outer,Low,Unsafe
dayananda slum near flag siddapura jayanagar 1st block bengaluru.,Residential,Evening,Low,No,No,Outer,Low,Unsafe
wambe qtrs lalbhagh siddapura jayanagar 1st block bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
5th main k.m.colony 1st block jayanagar bengaluru.,Residential,Morning,Low,No,No,Outer,Low,Unsafe
inside of vijaya college r.v.road 2nd block jayanagar bengaluru. bengaluru.,Residential,Evening,Low,No,No,Outer,Low,Unsafe
guttepalya 1st block jayanagar bengaluru.,Residential,Evening,Low,No,No,Outer,Low,Unsafe
near relance digital office jayanagar 2nd block bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
v.r.nagar 1st block jayanagar bengaluru.,Residential,Morning,Low,No,No,Outer,Low,Unsafe
near lalbhagh dubble road ge 1st block jayanagar bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
wambe qtrs siddapura 1st block jayanagar bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
arekempanahalli someshwara nagar 1st block jayanagar bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
someshwaranagar 1st block jayanagar bengaluru.,Residential,Night,Low,No,No,Outer,Low,Unsafe
near indira canteen byrasandra 1st block jayanagar bengaluru.,Residential,Night,Low,No,No,Outer,Low,Unsafe
near public toilet lakkasandra bus stop bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
konanakunte trafiic single near gubbalala kanakapura main ge banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
annapoor medical and general store jss school road ganapipura banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
real estee office nagaraja canara bank road konanakunte cross banglore 62,Residential,Evening,Low,No,No,Outer,Low,Unsafe
5th b cross om near shakti tepmle hanumagiri nagara chiklasandra banglore,Residential,Night,Low,No,No,Outer,Low,Unsafe
no 496. 9th main road 3rd cross srinidi layout konanakunte banglore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
govt school front venkteshwara iayanagara bekari chikllasandra banglore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
no 59/5. 1st main road 2nd cross gowravanagara jp nagara 7th stage banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
gowdanapally near srinivasa thetre banglore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
gowdanapally banglore,Residential,Night,Low,No,No,Outer,Low,Unsafe
near yallamma temple chunchaghta village banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
radhakrishan road ganapi pura banglore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
1st cross rbi layout jp nagara 7th stage banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
nice road vaddarapally banglore -61,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
no yakshi brmalingeswara candiments 10th cross brite ways school raod gowdanapally banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
uttarahalli banglore -61,Residential,Night,Low,No,No,Outer,Low,Unsafe
samasth hospital front 2nd cross yadalamanagara uttarahalli banglore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
auto stand uttarahalli near uttrahalli banglore,Residential,Night,Low,No,No,Outer,Low,Unsafe
no balaji wins near arehalli arch kemgeri main road arehalli uttarahalli banglore,Residential,Night,Low,No,No,Outer,Low,Unsafe
sagaralends appertment sri maruthi layout banglore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
rainbo tailer shop bihind appayaswamy layout banglore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
1st cross 1st main sarvaboumanagara chiklasandara banglore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
no bhcs layout uttarahalli banglore,Residential,Night,Low,No,No,Outer,Low,Unsafe
no 198.1stmain near ganesh temple chikka gowdanapally banglore,Residential,Night,Low,No,No,Outer,Low,Unsafe
aa collection padush mandira road pp layout banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
9th cross 10 th main near finance rk layout padmanabhanagara banglore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
in front of bramins coffee kte uttarahalli main road banglore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
in front dk chiken centre near deasayi gardon konankunte cross banglore,Residential,Night,Low,No,No,Outer,Low,Unsafe
kr hospital 5th cross samudra layout balaji nagara uttarahali main road banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
inside of gym roayal bar and resorent biside roti gur dabha pp layout uttarahalli banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
arehalli arch keneri main road uttarahalli banglore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
bengalore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
gubballa bangalore.,Residential,Morning,Low,No,No,Outer,Low,Unsafe
subrumanyapura post bangalore.,Residential,Night,Low,No,No,Outer,Low,Unsafe
banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
80 feet road anjanapura bangalore.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
banglore.,Residential,Night,Low,No,No,Outer,Low,Unsafe
rbi lay out bangalore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
kembh halli road bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
jaraganahalli jp nagar bangalore,Residential,Night,Low,No,No,Outer,Low,Unsafe
bangalore,Residential,Night,Low,No,No,Outer,Low,Unsafe
kembh halli main road bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
chunchaghta main road ganaphipura bangalore,Residential,Night,Low,No,No,Outer,Low,Unsafe
shreenidhi layout bangalore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
80 feet road jp nagr 8 th phase bangalore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
konanakunte amruth nagar main road bangalore-62,Residential,Evening,Low,No,No,Outer,Low,Unsafe
gottigere bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
near bk circle jambusavari dinne bangalore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
kanakapura main road bangalore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
chunchaghta circle bangalore,Residential,Night,Low,No,No,Outer,Low,Unsafe
bangalore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
kteramma lyout bangalore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
chunchaghta main road bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bengaluru city,Residential,Evening,Low,No,No,Outer,Low,Unsafe
bengaluru,Residential,Morning,Low,No,No,Outer,Low,Unsafe
bsk 2nd stage,Residential,Evening,Low,No,No,Outer,Low,Unsafe
yalachena halli.,Residential,Night,Low,No,No,Outer,Low,Unsafe
ks layout,Residential,Evening,Low,No,No,Outer,Low,Unsafe
banglore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bendre nagar,Residential,Night,Low,No,No,Outer,Low,Unsafe
ks layout 1st stage.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
banglore,Residential,Night,Low,No,No,Outer,Low,Unsafe
bsk,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
jp nagar,Residential,Morning,Low,No,No,Outer,Low,Unsafe
bsk,Residential,Evening,Low,No,No,Outer,Low,Unsafe
bsk,Residential,Night,Low,No,No,Outer,Low,Unsafe
banglore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
ks layout 1st stage,Residential,Morning,Low,No,No,Outer,Low,Unsafe
yalachena halli,Residential,Night,Low,No,No,Outer,Low,Unsafe
jp nagar,Residential,Night,Low,No,No,Outer,Low,Unsafe
umar bag layout,Residential,Night,Low,No,No,Outer,Low,Unsafe
15 f bus stop ks layout 2nd stage,Residential,Night,Low,No,No,Outer,Low,Unsafe
isro layout,Residential,Night,Low,No,No,Outer,Low,Unsafe
yalachena halli,Residential,Evening,Low,No,No,Outer,Low,Unsafe
ks layout,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
kashi nagar,Residential,Night,Low,No,No,Outer,Low,Unsafe
gowdanapalya,Residential,Night,Low,No,No,Outer,Low,Unsafe
near noorani maseedi iliyaz nagar,Residential,Evening,Low,No,No,Outer,Low,Unsafe
14th main ks laylut,Residential,Night,Low,No,No,Outer,Low,Unsafe
560085,Residential,Morning,Low,No,No,Outer,Low,Unsafe
560050,Residential,Night,Low,No,No,Outer,Low,Unsafe
560026,Residential,Night,Low,No,No,Outer,Low,Unsafe
560050,Residential,Morning,Low,No,No,Outer,Low,Unsafe
560085,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
560085,Residential,Night,Low,No,No,Outer,Low,Unsafe
50 feet road nagendra block b-26,Residential,Evening,Low,No,No,Outer,Low,Unsafe
opp b304 sky line aprtment disozanagar hosakerehalli bsk 3td stage b-85,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
1st cross eshwari school road eshwarinagar hosakerehalli bsk 3rd stage b-85,Residential,Evening,Low,No,No,Outer,Low,Unsafe
560085,Residential,Evening,Low,No,No,Outer,Low,Unsafe
bangalore-19,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bangalore-19,Residential,Night,Low,No,No,Outer,Low,Unsafe
bangalore,Residential,Night,Low,No,No,Outer,Low,Unsafe
shankarapura b'lore-04,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
shankarapura b'lore-04,Residential,Evening,Low,No,No,Outer,Low,Unsafe
b-lore,Residential,Night,Low,No,No,Outer,Low,Unsafe
b-lore,Residential,Evening,Low,No,No,Outer,Low,Unsafe
bengluru.-50,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bengaluru. -50,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bengaluru-50,Residential,Evening,Low,No,No,Outer,Low,Unsafe
bengaluru-50,Residential,Night,Low,No,No,Outer,Low,Unsafe
bengaluru-50,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bengaluru-50,Residential,Morning,Low,No,No,Outer,Low,Unsafe
bengaluru 50,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
thyagaraja nagara bengaluru -28,Residential,Morning,Low,No,No,Outer,Low,Unsafe
srinagar. bengaluru 50,Residential,Night,Low,No,No,Outer,Low,Unsafe
srinagara. bengaluru 50,Residential,Morning,Low,No,No,Outer,Low,Unsafe
srinagar. bengaluru 50,Residential,Evening,Low,No,No,Outer,Low,Unsafe
bengaluru 50,Residential,Night,Low,No,No,Outer,Low,Unsafe
bengluru 19,Residential,Night,Low,No,No,Outer,Low,Unsafe
bengaluru 560050,Residential,Night,Low,No,No,Outer,Low,Unsafe
bengaluru 560050,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bengaluru. 560050,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bangalore-85.,Residential,Night,Low,No,No,Outer,Low,Unsafe
bangalore-85.,Residential,Morning,Low,No,No,Outer,Low,Unsafe
banglore-85.,Residential,Morning,Low,No,No,Outer,Low,Unsafe
bangalore-85.,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
bangalore-28,Residential,Morning,Low,No,No,Outer,Low,Unsafe
4th block jayanagara bengaluru,Residential,Afternoon,Low,No,No,Outer,Low,Safe
jayanagar bangalore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
3rd block jayanagar bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
jayanagara 4th block bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
jayanagara bangalore,Residential,Morning,Low,No,No,Outer,Low,Safe
jayanagar 3rd block,Residential,Evening,Low,No,No,Outer,Low,Safe
jayanagar,Residential,Morning,Low,No,No,Outer,Low,Safe
jayanagar,Residential,Evening,Low,No,No,Outer,Low,Safe
8th block jayanagar,Residential,Night,Low,No,No,Outer,Low,Safe
5th main jayanagara 3rd block,Residential,Afternoon,Low,No,No,Outer,Low,Safe
jayanagar 5th block,Residential,Morning,Low,No,No,Outer,Low,Safe
jayanagar,Residential,Night,Low,No,No,Outer,Low,Safe
jayanagara 5th block,Residential,Night,Low,No,No,Outer,Low,Safe
jayanagara 6th block,Residential,Evening,Low,No,No,Outer,Low,Safe
5th block jayanagar,Residential,Afternoon,Low,No,No,Outer,Low,Safe
3rd main road jayanagara 8th block,Residential,Morning,Low,No,No,Outer,Low,Safe
jayanagara 4th t block,Residential,Afternoon,Low,No,No,Outer,Low,Safe
jayanagara 8th block,Residential,Morning,Low,No,No,Outer,Low,Safe
jp nagara 1st phase,Residential,Afternoon,Low,No,No,Outer,Low,Safe
jayanagar,Residential,Morning,Low,No,No,Outer,Low,Safe
jayanagar 3rd block,Residential,Night,Low,No,No,Outer,Low,Safe
jayanagara,Residential,Afternoon,Low,No,No,Outer,Low,Safe
metro stion jayanagar 5th block,Residential,Afternoon,Low,No,No,Outer,Low,Safe
bes college 4th block jayanagar,Residential,Morning,Low,No,No,Outer,Low,Safe
3rd block jayanagar,Residential,Night,Low,No,No,Outer,Low,Safe
jayanagara 6th block,Residential,Afternoon,Low,No,No,Outer,Low,Safe
jayanagar,Residential,Evening,Low,No,No,Outer,Low,Safe
jayanagar 4th t block,Residential,Night,Low,No,No,Outer,Low,Safe
4th block jayanagar,Residential,Night,Low,No,No,Outer,Low,Safe
8th block jayanagar,Residential,Evening,Low,No,No,Outer,Low,Safe
3rd block jayanagar,Residential,Evening,Low,No,No,Outer,Low,Safe
jss circle 8th block jayanagar,Residential,Night,Low,No,No,Outer,Low,Safe
laibrary road 3rd block jayanagar,Residential,Night,Low,No,No,Outer,Low,Safe
40th cross 5th block jayanagar,Residential,Morning,Low,No,No,Outer,Low,Safe
3rd main jayanagar 8th block,Residential,Night,Low,No,No,Outer,Low,Safe
7th block jayanagar,Residential,Night,Low,No,No,Outer,Low,Safe
6th block jayanagar,Residential,Night,Low,No,No,Outer,Low,Safe
jayanagar,Residential,Night,Low,No,No,Outer,Low,Safe
4th main 5th block jayanagara,Residential,Afternoon,Low,No,No,Outer,Low,Safe
3rd block jayanagar,Residential,Night,Low,No,No,Outer,Low,Safe
5th block jayanagar,Residential,Afternoon,Low,No,No,Outer,Low,Safe
7th block jayanagar,Residential,Evening,Low,No,No,Outer,Low,Safe
banashankari,Residential,Morning,Low,No,No,Outer,Low,Safe
4th t block jayanagar,Residential,Afternoon,Low,No,No,Outer,Low,Safe
8th block jayanagar,Residential,Afternoon,Low,No,No,Outer,Low,Safe
4th t block jayanagar,Residential,Afternoon,Low,No,No,Outer,Low,Safe
4th t block jayanagar,Residential,Evening,Low,No,No,Outer,Low,Safe
4th block jayanagar,Residential,Evening,Low,No,No,Outer,Low,Safe
8th block jayanagara,Residential,Night,Low,No,No,Outer,Low,Safe
jayanagar,Residential,Afternoon,Low,No,No,Outer,Low,Safe
mtb area 5th block jayanagar,Residential,Afternoon,Low,No,No,Outer,Low,Safe
3rd block jayanagar,Residential,Afternoon,Low,No,No,Outer,Low,Safe
basavanagudi,Residential,Afternoon,Low,No,No,Outer,Low,Safe
unknown,Residential,Afternoon,Low,No,No,Outer,Low,Safe
near srs petrol bunk,Residential,Afternoon,Low,No,No,Outer,Low,Safe
n r colony,Residential,Afternoon,Low,No,No,Outer,Low,Safe
south end road,Residential,Afternoon,Low,No,No,Outer,Low,Safe
560078,Residential,Night,Low,No,No,Outer,Low,Safe
560078,Residential,Afternoon,Low,No,No,Outer,Low,Safe
560078,Residential,Morning,Low,No,No,Outer,Low,Safe
560078,Residential,Evening,Low,No,No,Outer,Low,Safe
karnaka,Residential,Afternoon,Low,No,No,Outer,Low,Safe
b-18,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
chamaraj pete b-18,Residential,Evening,Low,No,No,Outer,Low,Unsafe
k g nagar b-19,Residential,Morning,Low,No,No,Outer,Low,Unsafe
k g nagar b-19,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
chamaraj pete b-18,Residential,Night,Low,No,No,Outer,Low,Unsafe
b-19,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
k g nagar b-19,Residential,Evening,Low,No,No,Outer,Low,Unsafe
chamaraj pete b-18,Residential,Morning,Low,No,No,Outer,Low,Unsafe
b-18,Residential,Night,Low,No,No,Outer,Low,Unsafe
chikkanna garden. shankarapura b'lore-04,Residential,Night,Low,No,No,Outer,Low,Unsafe
b-lore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
b-lore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
b-lore,Residential,Morning,Low,No,No,Outer,Low,Unsafe
b-lore,Residential,Afternoon,Low,No,No,Outer,Low,Unsafe
